Bandit,Reward,Algorithm
3,3.444015495956497,ThompsonSamplingBandit
3,4.241877167725814,ThompsonSamplingBandit
3,4.219025219966096,ThompsonSamplingBandit
3,4.6582985806149555,ThompsonSamplingBandit
3,1.9433102982927526,ThompsonSamplingBandit
3,3.4944519399571887,ThompsonSamplingBandit
3,5.520306696703528,ThompsonSamplingBandit
3,3.4149870897528274,ThompsonSamplingBandit
3,4.513301624546374,ThompsonSamplingBandit
3,2.7249109431073792,ThompsonSamplingBandit
3,3.2108071303953927,ThompsonSamplingBandit
3,5.340134687573963,ThompsonSamplingBandit
3,3.232600258153805,ThompsonSamplingBandit
3,3.8246067689813,ThompsonSamplingBandit
3,3.971243381740235,ThompsonSamplingBandit
3,5.560700154868496,ThompsonSamplingBandit
3,4.503227873031091,ThompsonSamplingBandit
3,3.634083718596025,ThompsonSamplingBandit
3,5.131410816201677,ThompsonSamplingBandit
3,3.1522848676982873,ThompsonSamplingBandit
3,2.7107598377014877,ThompsonSamplingBandit
3,2.8434211453588345,ThompsonSamplingBandit
3,5.766140022650248,ThompsonSamplingBandit
3,5.182318334457293,ThompsonSamplingBandit
3,4.736569055396015,ThompsonSamplingBandit
3,1.7789408748713242,ThompsonSamplingBandit
3,4.631836646348316,ThompsonSamplingBandit
3,4.17850190089968,ThompsonSamplingBandit
3,4.515345539026762,ThompsonSamplingBandit
3,3.301363519225528,ThompsonSamplingBandit
3,3.972684272831239,ThompsonSamplingBandit
3,5.162391906647913,ThompsonSamplingBandit
3,4.982039254395288,ThompsonSamplingBandit
3,3.0373116089834054,ThompsonSamplingBandit
3,3.0548996470639023,ThompsonSamplingBandit
3,5.271839205143976,ThompsonSamplingBandit
3,4.049745773637432,ThompsonSamplingBandit
3,2.574609567788569,ThompsonSamplingBandit
3,2.792671909596117,ThompsonSamplingBandit
3,3.6799651801720117,ThompsonSamplingBandit
3,3.519486852056505,ThompsonSamplingBandit
3,4.01106103585763,ThompsonSamplingBandit
